11g/10g: [10g] --- [11g]  
20g: [20g, 99480g, 11g] --- [99511g]  
99511g/30g: [30g, 99480g] --- [99511g]  
99522g/40g: [40g, 99480g] --- [11g, 99511g]  
99522g/50g: [50g, 99480g] --- [11g, 99511g]  
99522g/60g: [60g, 99480g] --- [11g, 99511g]  
99522g/70g: [70g, 99480g] --- [11g, 99511g]  
99522g/80g: [80g, 99480g] --- [11g, 99511g]  
99522g/90g: [90g, 99480g] --- [11g, 99511g]  
99522g/100g: [100g, 99480g] --- [11g, 99511g]  
99522g/110g: [110g, 99480g] --- [11g, 99511g]  
99522g/120g: [120g, 99480g] --- [11g, 99511g]  
99522g/130g: [130g, 99480g] --- [11g, 99511g]  
99522g/140g: [140g, 99480g] --- [11g, 99511g]  
99522g/150g: [150g, 99480g] --- [11g, 99511g]  
99522g/160g: [160g, 99480g] --- [11g, 99511g]  
99522g/170g: [170g, 99480g] --- [11g, 99511g]  
99522g/180g: [180g, 99480g] --- [11g, 99511g]  
99522g/190g: [190g, 99480g] --- [11g, 99511g]  
99522g/200g: [200g, 99480g] --- [11g, 99511g]  
99522g/210g: [210g, 99480g] --- [11g, 99511g]  
99522g/220g: [220g, 99480g] --- [11g, 99511g]  
99522g/230g: [230g, 99480g] --- [11g, 99511g]  
99522g/240g: [240g, 99480g] --- [11g, 99511g]  
99522g/250g: [250g, 99480g] --- [11g, 99511g]  
99522g/260g: [260g, 99480g] --- [11g, 99511g]  
99522g/270g: [270g, 99480g] --- [11g, 99511g]  
99522g/280g: [280g, 99480g] --- [11g, 99511g]  
99522g/290g: [290g, 99480g] --- [11g, 99511g]  
99522g/300g: [300g, 99480g] --- [11g, 99511g]  
99522g/310g: [310g, 99480g] --- [11g, 99511g]  
99522g/320g: [320g, 99480g] --- [11g, 99511g]  
99522g/330g: [330g, 99480g] --- [11g, 99511g]  
99522g/340g: [340g, 99480g] --- [11g, 99511g]  
99522g/350g: [350g, 99480g] --- [11g, 99511g]  
99522g/360g: [360g, 99480g] --- [11g, 99511g]  
99522g/370g: [370g, 99480g] --- [11g, 99511g]  
99522g/380g: [380g, 99480g] --- [11g, 99511g]  
99522g/390g: [390g, 99480g] --- [11g, 99511g]  
99522g/400g: [400g, 99480g] --- [11g, 99511g]  
99522g/410g: [410g, 99480g] --- [11g, 99511g]  
99522g/420g: [420g, 99480g] --- [11g, 99511g]  
99522g/430g: [430g, 99480g] --- [11g, 99511g]  
99522g/440g: [440g, 99480g] --- [11g, 99511g]  
99522g/450g: [450g, 99480g] --- [11g, 99511g]  
99522g/460g: [460g, 99480g] --- [11g, 99511g]  
99522g/470g: [470g, 99480g] --- [11g, 99511g]  
99522g/480g: [480g, 99480g] --- [11g, 99511g]  
99522g/490g: [490g, 99480g] --- [11g, 99511g]  
99522g/500g: [500g, 99480g] --- [11g, 99511g]  
99522g/510g: [510g, 99480g] --- [11g, 99511g]  
99522g/520g: [520g, 99480g] --- [11g, 99511g]  
99522g/530g: [530g, 99480g] --- [11g, 99511g]  
99522g/540g: [540g, 99480g] --- [11g, 99511g]  
99522g/550g: [550g, 99480g] --- [11g, 99511g]  
99522g/560g: [560g, 99480g] --- [11g, 99511g]  
99522g/570g: [570g, 99480g] --- [11g, 99511g]  
99522g/580g: [580g, 99480g] --- [11g, 99511g]  
99522g/590g: [590g, 99480g] --- [11g, 99511g]  
99522g/600g: [600g, 99480g] --- [11g, 99511g]  
99522g/610g: [610g, 99480g] --- [11g, 99511g]  
99522g/620g: [620g, 99480g] --- [11g, 99511g]  
99522g/630g: [630g, 99480g] --- [11g, 99511g]  
99522g/640g: [640g, 99480g] --- [11g, 99511g]  
99522g/650g: [650g, 99480g] --- [11g, 99511g]  
99522g/660g: [660g, 99480g] --- [11g, 99511g]  
99522g/670g: [670g, 99480g] --- [11g, 99511g]  
99522g/680g: [680g, 99480g] --- [11g, 99511g]  
99522g/690g: [690g, 99480g] --- [11g, 99511g]  
99522g/700g: [700g, 99480g] --- [11g, 99511g]  
99522g/710g: [710g, 99480g] --- [11g, 99511g]  
99522g/720g: [720g, 99480g] --- [11g, 99511g]  
99522g/730g: [730g, 99480g] --- [11g, 99511g]  
99522g/740g: [740g, 99480g] --- [11g, 99511g]  
99522g/750g: [750g, 99480g] --- [11g, 99511g]  
99522g/760g: [760g, 99480g] --- [11g, 99511g]  
99522g/770g: [770g, 99480g] --- [11g, 99511g]  
99522g/780g: [780g, 99480g] --- [11g, 99511g]  
99522g/790g: [790g, 99480g] --- [11g, 99511g]  
